City_Name,Province,Population,Latitude,Longitude
Saint-Félicien,Quebec,10332,48.654232,-72.448654
Roberval,Quebec,9856,48.514785,-72.224808
Stoneham-et-Tewkesbury,Quebec,10070,47.1191671,-71.396203
Saint-Zotique,Quebec,10397,45.2425481,-74.2477841
Contrecoeur,Quebec,10538,45.8573781,-73.2374307
Lorraine,Quebec,9724,45.6704733,-73.7887505
Notre-Dame-des-Prairies,Quebec,9576,46.0421555,-73.4351195
Saint-Rémi,Quebec,9518,45.2591064,-73.6188315
L'Épiphanie,Quebec,9168,45.8496673,-73.4820525
Coaticook,Quebec,9056,45.1334169,-71.803479
La Pêche,Quebec,9242,45.6402189,-76.0372354
Nicolet,Quebec,8780,46.2272898,-72.6192665
Sainte-Brigitte-de-Laval,Quebec,8988,47.0025,-71.194496
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,9444,46.8443807,-71.615023
Otterburn Park,Quebec,9249,45.5425651,-73.2020384
Delson,Quebec,8567,45.3748635,-73.5412607
Boischatel,Quebec,8987,46.896801,-71.135788
La Malbaie,Quebec,8443,47.657525,-70.153885
Lac-Beauport,Quebec,8444,46.944403,-71.296806
Chelsea,Quebec,8952,45.5031737,-75.808023
Saint-Apollinaire,Quebec,9024,46.61195,-71.513786
Rigaud,Quebec,8187,45.4794481,-74.3019608
Saint-Philippe,Quebec,8457,45.3583776,-73.4783036
Acton Vale,Quebec,7962,45.6471564,-72.5654107
Donnacona,Quebec,7806,46.676532,-71.73008
Coteau-du-Lac,Quebec,7732,45.2963957,-74.1782005
Chandler,Quebec,7420,48.3491804,-64.6775915
Baie-Saint-Paul,Quebec,7784,47.444343,-70.505447
La Sarre,Quebec,7212,48.8000956,-79.2010223
Louiseville,Quebec,7539,46.255609,-72.947502
Brownsburg-Chatham,Quebec,8148,45.676516,-74.4046061
Shefford,Quebec,7672,45.4322322,-72.6674126
Chibougamau,Quebec,7325,49.9137407,-74.3713954
Les Cèdres,Quebec,7186,45.3085563,-74.0581993
Val-des-Sources,Quebec,7367,45.776623,-71.932297
Saint-Joseph-du-Lac,Quebec,7361,45.5333352,-74.0060242
Hampstead,Quebec,7565,45.4816781,-73.647192
Saint-Félix-de-Valois,Quebec,7437,46.1700019,-73.4246401
Saint-Lambert-de-Lauzon,Quebec,7181,46.58671,-71.213379
Saint-Calixte,Quebec,7567,45.951627,-73.849411
Saint-Paul,Quebec,7122,45.9842686,-73.4463225
